epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,train/foundation_p3_loss,train/foundation_p4_loss,train/foundation_p5_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
62,11526.8,1.52074,2.03379,0.02008,0.99935,12.8506,0.57324,0.47718,0.51139,0.3286,1.43211,1.67669,0.02352,0,0,12.8506,0,12.8506,0,0.0669958,0.186625,3.00161,3.00161,0,1,13.6322,13.5597,11.36,0.00849025,0.00849025,0.00849025,0.00424513,0.0169805
63,11708.9,1.51699,2.03603,0.02001,0.99969,12.8908,0.57166,0.47807,0.51293,0.33021,1.43054,1.67109,0.02347,0,0,12.8908,0,12.8908,0,0.0672055,0.187262,3.00161,3.00161,0,1,13.6626,13.6065,11.4032,0.0084655,0.0084655,0.0084655,0.00423275,0.016931
64,11890.1,1.52386,2.03316,0.01997,0.99943,12.8965,0.57599,0.47784,0.51493,0.33175,1.42874,1.66723,0.02344,0,0,12.8965,0,12.8965,0,0.0672378,0.187298,3.00161,3.00161,0,1,13.6764,13.6055,11.4076,0.00844075,0.00844075,0.00844075,0.00422038,0.0168815
65,12074.4,1.50913,2.02454,0.01999,0.9995,12.9039,0.57707,0.48077,0.51689,0.33326,1.42703,1.66289,0.02341,0,0,12.9039,0,12.9039,0,0.0672711,0.188688,3.00161,3.00161,0,1,13.6954,13.6181,11.3981,0.008416,0.008416,0.008416,0.004208,0.016832
66,12256.2,1.51652,2.01537,0.01998,0.99947,12.8285,0.57123,0.48421,0.51801,0.33424,1.42612,1.65824,0.02339,0,0,12.8285,0,12.8285,0,0.0668742,0.187452,3.00161,3.00161,0,1,13.6012,13.5447,11.3396,0.00839125,0.00839125,0.00839125,0.00419563,0.0167825
67,12437.4,1.51099,2.00695,0.01999,0.99955,12.8218,0.57443,0.48334,0.51954,0.33512,1.42564,1.65356,0.02338,0,0,12.8218,0,12.8218,0,0.0668536,0.188098,3.00161,3.00161,0,1,13.5865,13.5354,11.3436,0.0083665,0.0083665,0.0083665,0.00418325,0.016733
68,12618.8,1.50566,2.0007,0.01976,0.99969,12.8004,0.57362,0.48517,0.52061,0.336,1.4243,1.65045,0.02334,0,0,12.8004,0,12.8004,0,0.0667361,0.188466,3.00161,3.00161,0,1,13.5562,13.5221,11.323,0.00834175,0.00834175,0.00834175,0.00417088,0.0166835
69,12801.6,1.50268,1.99857,0.01992,0.99935,12.771,0.57169,0.48818,0.52192,0.33671,1.42236,1.64877,0.0233,0,0,12.771,0,12.771,0,0.0665842,0.188492,3.00161,3.00161,0,1,13.5397,13.4842,11.289,0.008317,0.008317,0.008317,0.0041585,0.016634
70,12984.9,1.50387,1.99084,0.01985,0.99958,12.7467,0.57246,0.49052,0.52289,0.33763,1.42098,1.64616,0.02326,0,0,12.7467,0,12.7467,0,0.0664521,0.187823,3.00161,3.00161,0,1,13.5188,13.4692,11.2522,0.00829225,0.00829225,0.00829225,0.00414612,0.0165845
71,13167.7,1.50393,1.98717,0.01977,0.99935,12.7429,0.57878,0.48797,0.52352,0.33832,1.42107,1.64156,0.02327,0,0,12.7428,0,12.7428,0,0.0664348,0.188533,3.00161,3.00161,0,1,13.4986,13.4544,11.2755,0.0082675,0.0082675,0.0082675,0.00413375,0.016535
