dominant_expert_agreement,jensen_shannon_divergence,layer_index,layer_name,normalized_route_entropy_a,normalized_route_entropy_b,route_entropy_a,route_entropy_b,seed_a,seed_b,token_top1_agreement
1,3.4397652469359875e-06,1,model.14.m.1,0.9999884202928088,0.9999995741932536,1.0985995670594904,1.0986118208715856,0,1,0.275
1,0.00039607858252101126,2,model.20.m.0,0.9999662461905621,0.9986346715384916,1.0985752063182719,1.0971123220422283,0,1,0.665
1,1.3436602786378942e-07,3,model.20.m.1,0.999999534803699,0.9999997514584187,1.0986117775977369,1.0986120156172743,0,1,0.23
1,1.3687815504170872e-10,4,model.23.m.0,0.9999999744702859,0.999999982054502,1.0986122606208522,1.0986122689529652,0,1,1.0
0,1.3000877960549155e-08,5,model.23.m.1,0.9999999610414531,0.9999999995817295,1.0986122458677714,1.0986122882085927,0,1,0.0
1,2.7722040393790516e-05,0,model.14.m.0,0.9998704534483517,0.9999618088831395,1.0984699672345144,1.0985703314378088,0,1,0.40125
0,5.4479215616329985e-06,1,model.14.m.1,0.9999858474145165,0.9999996955638422,1.098596740463781,1.0986119542108057,0,1,0.279375
0,0.0003879110783704051,2,model.20.m.0,0.9999782156960951,0.9988554470421003,1.0985883561641399,1.0973548687235297,0,1,0.649375
1,1.6436203261713548e-07,3,model.20.m.1,0.9999995731744552,0.9999997649348181,1.0986118197523211,1.0986120304226124,0,1,0.236875
1,1.3646058470040778e-10,4,model.23.m.0,0.9999999718042899,0.9999999767094337,1.0986122576919561,1.0986122630808075,0,1,1.0
0,1.2897781854971142e-08,5,model.23.m.1,0.9999999611516063,1.0000000022284643,1.098612245988787,1.098612291116328,0,1,0.0
1,3.1199492851053626e-05,0,model.14.m.0,0.9998053394508795,0.9999640784234607,1.098398432196727,1.0985728247826954,0,1,0.423125
0,6.676482017926497e-06,1,model.14.m.1,0.9999840812735806,0.9999998542656683,1.0985948001596455,1.098612128562582,0,1,0.358125
1,0.0004882793297301029,2,model.20.m.0,0.9999638131723291,0.9983481097551806,1.0985725333745426,1.0967975017456202,0,1,0.655
0,2.103724694898617e-07,3,model.20.m.1,0.9999995815790995,0.9999997768477937,1.0986118289857667,1.0986120435103537,0,1,0.21125
1,1.49678755486693e-10,4,model.23.m.0,0.9999999741421616,0.9999999795521655,1.0986122602603707,1.0986122662038675,0,1,1.0
0,1.2896275941880788e-08,5,model.23.m.1,0.9999999610559053,0.9999999995427442,1.0986122458836487,1.098612288165763,0,1,0.0
1,3.6217315652014356e-05,0,model.14.m.0,0.9998125044733253,0.9999627621989415,1.0984063037784346,1.098571378762264,0,1,0.391875
0,5.5029876770676845e-06,1,model.14.m.1,0.9999857698041799,0.9999999115950807,1.0985966552001116,1.098612191545379,0,1,0.315625
1,0.0003898577998142894,2,model.20.m.0,0.9999589332341915,0.9986020824714887,1.0985671722145367,1.0970765192927427,0,1,0.610625
1,2.1305293296140575e-07,3,model.20.m.1,0.9999995034062314,0.9999997746198946,1.0986117431040932,1.0986120410627565,0,1,0.28
1,1.2853156719195584e-10,4,model.23.m.0,0.999999974429332,0.9999999737389205,1.0986122605758597,1.098612259817365,0,1,1.0
0,1.293705896321101e-08,5,model.23.m.1,0.9999999610891435,0.99999999955881,1.0986122459201646,1.098612288183413,0,1,0.0
1,3.4636649764053135e-05,0,model.14.m.0,0.9997823134839672,0.9999522405026081,1.0983731355865187,1.0985598194973745,0,1,0.440625
