epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
52,9694.81,1.55512,2.07225,0.02063,0.99928,14.646,0.60226,0.4663,0.50541,0.31698,1.46376,1.71008,0.02428,0,0,14.646,0,14.646,0,0.0685638,0.208189,3.34277,3.34277,0,1,0.00873775,0.00873775,0.00873775,0.00436888,0.0174755
53,9877.25,1.53405,2.0794,0.02037,0.99912,14.5608,0.60154,0.46585,0.50804,0.32009,1.45784,1.70492,0.02416,0,0,14.5608,0,14.5608,0,0.0681607,0.207781,3.34277,3.34277,0,1,0.008713,0.008713,0.008713,0.0043565,0.017426
54,10062.8,1.53795,2.06459,0.02038,0.99924,14.5649,0.59085,0.4759,0.51021,0.32146,1.45797,1.69517,0.02414,0,0,14.5649,0,14.5649,0,0.0681829,0.208721,3.34277,3.34277,0,1,0.00868825,0.00868825,0.00868825,0.00434412,0.0173765
55,10245.4,1.53867,2.06347,0.02049,0.99939,14.5211,0.58585,0.48329,0.51247,0.32395,1.45703,1.68641,0.02411,0,0,14.5211,0,14.5211,0,0.0679761,0.208099,3.34277,3.34277,0,1,0.0086635,0.0086635,0.0086635,0.00433175,0.017327
56,10428.6,1.5366,2.0468,0.02048,0.99936,14.5429,0.58645,0.48421,0.51629,0.32623,1.45442,1.68023,0.02405,0,0,14.5429,0,14.5429,0,0.0680813,0.209488,3.34277,3.34277,0,1,0.00863875,0.00863875,0.00863875,0.00431938,0.0172775
57,10611.4,1.52052,2.03952,0.02015,0.9992,14.4897,0.59288,0.48031,0.51802,0.32803,1.45301,1.67527,0.024,0,0,14.4897,0,14.4897,0,0.0678246,0.210051,3.34277,3.34277,0,1,0.008614,0.008614,0.008614,0.004307,0.017228
58,10794,1.52065,2.03038,0.02025,0.99953,14.4818,0.58776,0.48646,0.52003,0.32939,1.45118,1.66851,0.02394,0,0,14.4818,0,14.4818,0,0.0677966,0.210209,3.34277,3.34277,0,1,0.00858925,0.00858925,0.00858925,0.00429463,0.0171785
59,10977.8,1.52389,2.04762,0.02012,0.99927,14.4911,0.586,0.48793,0.52164,0.33092,1.45247,1.66206,0.02396,0,0,14.4911,0,14.4911,0,0.0678345,0.209771,3.34277,3.34277,0,1,0.0085645,0.0085645,0.0085645,0.00428225,0.017129
60,11162.7,1.52833,2.02783,0.02013,0.99956,14.4741,0.58915,0.48529,0.52463,0.33384,1.44941,1.65689,0.02389,0,0,14.4741,0,14.4741,0,0.0677626,0.210489,3.34277,3.34277,0,1,0.00853975,0.00853975,0.00853975,0.00426988,0.0170795
61,11346.2,1.52508,2.02228,0.02016,0.99946,14.4825,0.5961,0.48221,0.52544,0.33505,1.44593,1.65404,0.0238,0,0,14.4825,0,14.4825,0,0.0677997,0.210967,3.34277,3.34277,0,1,0.008515,0.008515,0.008515,0.0042575,0.01703
62,11528.6,1.52217,2.01251,0.02003,0.99945,14.3893,0.60458,0.47776,0.52682,0.33663,1.44273,1.6497,0.02372,0,0,14.3892,0,14.3892,0,0.0673653,0.210477,3.34277,3.34277,0,1,0.00849025,0.00849025,0.00849025,0.00424513,0.0169805
